date,geoid,value1,value2
2022-09-15,04,1,6
2022-09-16,04,2,7
2022-09-17,04,1,6
2022-09-18,04,1,5
2022-09-19,04,0,4
2022-09-20,04,2,7
2022-09-21,04,0,6
2022-09-22,04,1,5
2022-09-23,04,3,7
2022-09-24,04,2,6
2022-09-25,04,1,6
2022-09-26,04,2,9
2022-09-27,04,0,7
2022-09-28,04,3,8
2022-09-29,04,4,8
2022-09-30,04,0,3
2022-10-01,04,0,1
2022-10-02,04,1,2
2022-10-03,04,5,7
2022-10-04,04,3,7
2022-10-05,04,3,8
2022-10-06,04,2,10
2022-10-07,04,1,4
2022-10-08,04,3,5
2022-10-09,04,1,8
2022-10-10,04,0,5
2022-10-11,04,1,5
2022-10-12,04,4,10
2022-10-13,04,1,4
2022-10-14,04,0,9
2022-10-15,04,4,10
2022-10-16,04,4,13
2022-10-17,04,3,12
2022-10-18,04,3,14
2022-10-19,04,7,15
2022-10-20,04,2,10
2022-10-21,04,3,13
2022-10-22,04,2,12
2022-10-23,04,2,10
2022-10-24,04,2,10
2022-10-25,04,1,7
2022-10-26,04,3,7
2022-10-27,04,12,21
2022-10-28,04,7,21
2022-10-29,04,2,18
2022-10-30,04,7,24
2022-10-31,04,4,23
2022-11-01,04,4,24
2022-11-02,04,12,33
2022-11-03,04,14,42
2022-11-04,04,18,42
2022-11-05,04,20,52
2022-11-06,04,12,43
2022-11-07,04,22,54
2022-11-08,04,11,37
2022-11-09,04,22,53
2022-11-10,04,24,62
2022-11-11,04,24,67
2022-11-12,04,21,71
2022-11-13,04,29,81
2022-11-14,04,40,89
2022-11-15,04,44,100
2022-11-16,04,43,107
2022-11-17,04,50,110
2022-11-18,04,55,126
2022-11-19,04,52,136
2022-11-20,04,55,142
2022-11-21,04,83,175
2022-11-22,04,70,190
2022-11-23,04,76,193
2022-11-24,04,98,196
2022-11-25,04,93,216
2022-11-26,04,102,281
2022-11-27,04,90,302
2022-11-28,04,104,302
2022-11-29,04,130,351
2022-11-30,04,115,360
2022-12-01,04,127,398
2022-12-02,04,125,415
2022-12-03,04,112,393
2022-12-04,04,108,395
2022-12-05,04,103,413
2022-12-06,04,125,413
2022-12-07,04,134,406
2022-12-08,04,138,447
2022-12-09,04,94,421
2022-12-10,04,82,376
2022-12-11,04,83,377
2022-12-12,04,98,385
2022-12-13,04,92,368
2022-12-14,04,90,355
2022-12-15,04,68,350
2022-12-16,04,73,347
2022-12-17,04,77,334
2022-12-18,04,65,333
2022-12-19,04,81,354
2022-12-20,04,76,341
2022-12-21,04,83,336
2022-12-22,04,104,366
2022-12-23,04,88,375
2022-12-24,04,90,367
2022-12-25,04,84,354
2022-12-26,04,81,370
2022-12-27,04,83,401
2022-12-28,04,117,414
2022-12-29,04,127,444
2022-12-30,04,92,429
2022-12-31,04,80,391
2023-01-01,04,76,388
2023-01-02,04,69,377
2023-01-03,04,65,361
2023-01-04,04,58,336
2023-01-05,04,54,304
2023-01-06,04,36,269
2023-01-07,04,30,235
2023-01-08,04,38,234
2023-01-09,04,25,234
2023-01-10,04,24,211
2023-01-11,04,22,199
2023-01-12,04,19,184
2023-01-13,04,23,158
2023-01-14,04,13,130
2023-01-15,04,14,119
2023-01-16,04,21,125
2023-01-17,04,19,135
2023-01-18,04,17,118
2023-01-19,04,17,107
2023-01-20,04,17,108
2023-01-21,04,14,104
2023-01-22,04,7,84
2023-01-23,04,13,122
2023-01-24,04,5,78
2023-01-25,04,5,60
2023-01-26,04,7,63
2023-01-27,04,7,102
2023-01-28,04,13,65
2023-01-29,04,5,67
2023-01-30,04,3,55
2023-01-31,04,8,51
2023-02-01,04,11,52
2023-02-02,04,12,56
2023-02-03,04,14,62
2023-02-04,04,10,52
2023-02-05,04,13,55
2023-02-06,04,9,46
2023-02-07,04,10,48
2023-02-08,04,7,41
2023-02-09,04,10,50
2023-02-10,04,6,43
2023-02-11,04,7,42
2023-02-12,04,3,37
2023-02-13,04,8,34
2023-02-14,04,7,37
2023-02-15,04,2,30
2023-02-16,04,4,31
2023-02-17,04,7,37
2023-02-18,04,7,38
2023-02-19,04,3,34
2023-02-20,04,7,41
2023-02-21,04,8,42
2023-02-22,04,9,44
2023-02-23,04,6,39
2023-02-24,04,8,30
2023-02-25,04,4,28
2023-02-26,04,11,32
2023-02-27,04,7,35
2023-02-28,04,7,32
2023-03-01,04,9,34
2023-03-02,04,6,27
2023-03-03,04,4,30
2023-03-04,04,6,33
2023-03-05,04,5,28
2023-03-06,04,4,38
2023-03-07,04,11,39
2023-03-08,04,3,25
2023-03-09,04,7,30
2023-03-10,04,5,32
2023-03-11,04,8,31
2023-03-12,04,7,31
2023-03-13,04,12,39
2023-03-14,04,9,43
2023-03-15,04,10,37
2023-03-16,04,9,40
2022-09-15,08,0,4
2022-09-16,08,0,3
2022-09-17,08,0,2
2022-09-18,08,1,3
2022-09-19,08,0,2
2022-09-20,08,0,3
2022-09-21,08,1,3
2022-09-22,08,2,2
2022-09-23,08,0,1
2022-09-24,08,0,1
2022-09-25,08,1,2
2022-09-26,08,1,1
2022-09-27,08,0,2
2022-09-28,08,0,2
2022-09-29,08,1,2
2022-09-30,08,0,0
2022-10-01,08,0,0
2022-10-02,08,1,1
2022-10-03,08,0,0
2022-10-04,08,0,0
2022-10-05,08,0,0
2022-10-06,08,1,1
2022-10-07,08,0,1
2022-10-08,08,0,1
2022-10-09,08,0,0
2022-10-10,08,0,2
2022-10-11,08,0,1
2022-10-12,08,0,1
2022-10-13,08,0,1
2022-10-14,08,1,3
2022-10-15,08,2,4
2022-10-16,08,2,3
2022-10-17,08,1,3
2022-10-18,08,1,4
2022-10-19,08,1,2
2022-10-20,08,1,2
2022-10-21,08,3,5
2022-10-22,08,5,9
2022-10-23,08,3,6
2022-10-24,08,6,14
2022-10-25,08,4,11
2022-10-26,08,5,11
2022-10-27,08,1,8
2022-10-28,08,4,8
2022-10-29,08,4,11
2022-10-30,08,8,14
2022-10-31,08,9,14
2022-11-01,08,5,10
2022-11-02,08,3,11
2022-11-03,08,4,8
2022-11-04,08,2,73
2022-11-05,08,4,7
2022-11-06,08,5,10
2022-11-07,08,6,16
2022-11-08,08,0,16
2022-11-09,08,3,21
2022-11-10,08,15,26
2022-11-11,08,20,29
2022-11-12,08,9,36
2022-11-13,08,8,34
2022-11-14,08,17,36
2022-11-15,08,13,32
2022-11-16,08,14,36
2022-11-17,08,25,51
2022-11-18,08,17,55
2022-11-19,08,13,59
2022-11-20,08,15,59
2022-11-21,08,18,66
2022-11-22,08,18,80
2022-11-23,08,43,105
2022-11-24,08,20,98
2022-11-25,08,16,87
2022-11-26,08,18,78
2022-11-27,08,24,129
2022-11-28,08,22,132
2022-11-29,08,20,123
2022-11-30,08,23,107
2022-12-01,08,29,148
2022-12-02,08,19,154
2022-12-03,08,27,144
2022-12-04,08,20,109
2022-12-05,08,20,124
2022-12-06,08,25,157
2022-12-07,08,27,156
2022-12-08,08,55,115
2022-12-09,08,20,132
2022-12-10,08,70,154
2022-12-11,08,26,164
2022-12-12,08,23,177
2022-12-13,08,34,158
2022-12-14,08,27,155
2022-12-15,08,49,165
2022-12-16,08,44,155
2022-12-17,08,51,173
2022-12-18,08,27,169
2022-12-19,08,29,167
2022-12-20,08,49,160
2022-12-21,08,88,139
2022-12-22,08,56,172
2022-12-23,08,51,153
2022-12-24,08,42,145
2022-12-25,08,35,157
2022-12-26,08,53,172
2022-12-27,08,50,178
2022-12-28,08,63,176
2022-12-29,08,47,195
2022-12-30,08,39,184
2022-12-31,08,28,168
2023-01-01,08,31,156
2023-01-02,08,27,149
2023-01-03,08,24,146
2023-01-04,08,25,149
2023-01-05,08,13,131
2023-01-06,08,19,114
2023-01-07,08,19,109
2023-01-08,08,19,111
2023-01-09,08,18,109
2023-01-10,08,12,96
2023-01-11,08,8,86
2023-01-12,08,19,81
2023-01-13,08,10,71
2023-01-14,08,13,66
2023-01-15,08,5,33
2023-01-16,08,4,52
2023-01-17,08,6,49
2023-01-18,08,6,46
2023-01-19,08,4,41
2023-01-20,08,9,41
2023-01-21,08,3,33
2023-01-22,08,1,30
2023-01-23,08,4,33
2023-01-24,08,6,36
2023-01-25,08,5,32
2023-01-26,08,6,28
2023-01-27,08,2,26
2023-01-28,08,2,20
2023-01-29,08,5,25
2023-01-30,08,5,23
2023-01-31,08,4,17
2023-02-01,08,5,18
2023-02-02,08,6,24
2023-02-03,08,9,22
2023-02-04,08,4,12
2023-02-05,08,5,12
2023-02-06,08,4,17
2023-02-07,08,2,15
2023-02-08,08,4,15
2023-02-09,08,5,17
2023-02-10,08,3,17
2023-02-11,08,4,18
2023-02-12,08,2,15
2023-02-13,08,5,17
2023-02-14,08,3,10
2023-02-15,08,4,12
2023-02-16,08,1,11
2023-02-17,08,1,10
2023-02-18,08,1,8
2023-02-19,08,1,8
2023-02-20,08,6,14
2023-02-21,08,1,11
2023-02-22,08,1,8
2023-02-23,08,1,12
2023-02-24,08,1,12
2023-02-25,08,2,12
2023-02-26,08,2,13
2023-02-27,08,1,11
2023-02-28,08,4,13
2023-03-01,08,3,13
2023-03-02,08,3,14
2023-03-03,08,4,15
2023-03-04,08,2,11
2023-03-05,08,0,11
2023-03-06,08,2,10
2023-03-07,08,1,9
2023-03-08,08,2,7
2023-03-09,08,1,5
2023-03-10,08,2,7
2023-03-11,08,1,6
2023-03-12,08,2,8
2023-03-13,08,4,8
2023-03-14,08,2,8
2023-03-15,08,1,8
2023-03-16,08,0,7
2022-09-15,32,2,9
2022-09-16,32,2,12
2022-09-17,32,0,11
2022-09-18,32,0,9
2022-09-19,32,0,9
2022-09-20,32,0,10
2022-09-21,32,1,10
2022-09-22,32,0,9
2022-09-23,32,3,12
2022-09-24,32,2,12
2022-09-25,32,3,12
2022-09-26,32,0,8
2022-09-27,32,0,13
2022-09-28,32,1,13
2022-09-29,32,2,14
2022-09-30,32,5,17
2022-10-01,32,3,15
2022-10-02,32,1,14
2022-10-03,32,4,18
2022-10-04,32,3,13
2022-10-05,32,3,13
2022-10-06,32,4,15
2022-10-07,32,4,17
2022-10-08,32,6,16
2022-10-09,32,3,14
2022-10-10,32,2,19
2022-10-11,32,4,21
2022-10-12,32,6,16
2022-10-13,32,5,15
2022-10-14,32,2,14
2022-10-15,32,2,9
2022-10-16,32,1,7
2022-10-17,32,6,14
2022-10-18,32,4,15
2022-10-19,32,2,15
2022-10-20,32,4,14
2022-10-21,32,7,17
2022-10-22,32,2,16
2022-10-23,32,4,19
2022-10-24,32,4,20
2022-10-25,32,7,24
2022-10-26,32,8,28
2022-10-27,32,9,27
2022-10-28,32,11,36
2022-10-29,32,10,37
2022-10-30,32,7,34
2022-10-31,32,12,37
2022-11-01,32,9,36
2022-11-02,32,14,43
2022-11-03,32,16,47
2022-11-04,32,16,48
2022-11-05,32,16,44
2022-11-06,32,14,54
2022-11-07,32,18,63
2022-11-08,32,24,66
2022-11-09,32,21,69
2022-11-10,32,24,73
2022-11-11,32,27,79
2022-11-12,32,21,81
2022-11-13,32,19,79
2022-11-14,32,16,85
2022-11-15,32,28,92
2022-11-16,32,25,98
2022-11-17,32,25,95
2022-11-18,32,27,103
2022-11-19,32,23,100
2022-11-20,32,15,100
2022-11-21,32,16,108
2022-11-22,32,28,118
2022-11-23,32,29,123
2022-11-24,32,30,119
2022-11-25,32,19,120
2022-11-26,32,39,137
2022-11-27,32,29,139
2022-11-28,32,47,145
2022-11-29,32,49,163
2022-11-30,32,57,175
2022-12-01,32,62,180
2022-12-02,32,56,189
2022-12-03,32,61,185
2022-12-04,32,39,177
2022-12-05,32,38,194
2022-12-06,32,71,215
2022-12-07,32,73,214
2022-12-08,32,58,220
2022-12-09,32,59,218
2022-12-10,32,71,233
2022-12-11,32,47,242
2022-12-12,32,43,246
2022-12-13,32,61,235
2022-12-14,32,60,225
2022-12-15,32,23,113
2022-12-16,32,55,225
2022-12-17,32,53,239
2022-12-18,32,56,255
2022-12-19,32,48,263
2022-12-20,32,59,253
2022-12-21,32,57,238
2022-12-22,32,48,236
2022-12-23,32,44,232
2022-12-24,32,49,218
2022-12-25,32,47,225
2022-12-26,32,47,221
2022-12-27,32,25,116
2022-12-28,32,47,183
2022-12-29,32,46,174
2022-12-30,32,31,139
2022-12-31,32,43,155
2023-01-01,32,30,163
2023-01-02,32,21,158
2023-01-03,32,26,154
2023-01-04,32,32,147
2023-01-05,32,13,139
2023-01-06,32,32,132
2023-01-07,32,25,120
2023-01-08,32,14,111
2023-01-09,32,5,111
2023-01-10,32,5,104
2023-01-11,32,4,77
2023-01-12,32,8,73
2023-01-13,32,10,71
2023-01-14,32,7,61
2023-01-15,32,4,54
2023-01-16,32,6,45
2023-01-17,32,6,42
2023-01-18,32,3,35
2023-01-19,32,2,17
2023-01-20,32,6,32
2023-01-21,32,2,20
2023-01-22,32,5,24
2023-01-23,32,3,23
2023-01-24,32,2,20
2023-01-25,32,2,18
2023-01-26,32,4,16
2023-01-27,32,3,17
2023-01-28,32,2,15
2023-01-29,32,1,16
2023-01-30,32,2,18
2023-01-31,32,1,13
2023-02-01,32,1,12
2023-02-02,32,1,12
2023-02-03,32,2,12
2023-02-04,32,2,11
2023-02-05,32,0,10
2023-02-06,32,4,13
2023-02-07,32,0,12
2023-02-08,32,3,14
2023-02-09,32,0,13
2023-02-10,32,0,12
2023-02-11,32,2,13
2023-02-12,32,0,13
2023-02-13,32,0,10
2023-02-14,32,0,9
2023-02-15,32,1,8
2023-02-16,32,0,8
2023-02-17,32,2,9
2023-02-18,32,0,8
2023-02-19,32,0,7
2023-02-20,32,1,8
2023-02-21,32,2,12
2023-02-22,32,3,12
2023-02-23,32,3,14
2023-02-24,32,1,12
2023-02-25,32,1,11
2023-02-26,32,1,7
2023-02-27,32,3,9
2023-02-28,32,1,9
2023-03-01,32,5,12
2023-03-02,32,0,5
2023-03-03,32,3,9
2023-03-04,32,3,11
2023-03-05,32,0,12
2023-03-06,32,0,13
2023-03-07,32,1,12
2023-03-08,32,1,9
2023-03-09,32,1,7
2023-03-10,32,2,7
2023-03-11,32,0,8
2023-03-12,32,0,8
2023-03-13,32,0,8
2023-03-14,32,0,8
2023-03-15,32,2,8
2023-03-16,32,1,5
2022-09-15,35,1,1
2022-09-16,35,2,2
2022-09-17,35,0,0
2022-09-18,35,2,2
2022-09-19,35,2,2
2022-09-20,35,3,3
2022-09-21,35,1,2
2022-09-22,35,1,1
2022-09-23,35,1,2
2022-09-24,35,0,0
2022-09-25,35,1,1
2022-09-26,35,4,4
2022-09-27,35,1,1
2022-09-28,35,1,1
2022-09-29,35,3,4
2022-09-30,35,5,5
2022-10-01,35,0,1
2022-10-02,35,0,1
2022-10-03,35,5,5
2022-10-04,35,7,7
2022-10-05,35,4,5
2022-10-06,35,5,5
2022-10-07,35,5,7
2022-10-08,35,6,7
2022-10-09,35,5,7
2022-10-10,35,0,2
2022-10-11,35,0,2
2022-10-12,35,0,1
2022-10-13,35,1,2
2022-10-14,35,3,4
2022-10-15,35,3,5
2022-10-16,35,1,5
2022-10-17,35,4,6
2022-10-18,35,2,7
2022-10-19,35,3,5
2022-10-20,35,1,3
2022-10-21,35,3,5
2022-10-22,35,0,2
2022-10-23,35,1,3
2022-10-24,35,1,5
2022-10-25,35,4,8
2022-10-26,35,2,7
2022-10-27,35,2,6
2022-10-28,35,1,3
2022-10-29,35,0,3
2022-10-30,35,2,4
2022-10-31,35,3,6
2022-11-01,35,4,7
2022-11-02,35,3,11
2022-11-03,35,8,16
2022-11-04,35,8,20
2022-11-05,35,1,11
2022-11-06,35,4,17
2022-11-07,35,12,22
2022-11-08,35,14,24
2022-11-09,35,11,31
2022-11-10,35,13,32
2022-11-11,35,13,36
2022-11-12,35,10,30
2022-11-13,35,7,31
2022-11-14,35,14,44
2022-11-15,35,23,41
2022-11-16,35,21,42
2022-11-17,35,30,57
2022-11-18,35,30,60
2022-11-19,35,13,52
2022-11-20,35,26,52
2022-11-21,35,28,78
2022-11-22,35,33,80
2022-11-23,35,22,84
2022-11-24,35,40,85
2022-11-25,35,28,87
2022-11-26,35,53,99
2022-11-27,35,48,102
2022-11-28,35,61,134
2022-11-29,35,58,137
2022-11-30,35,57,137
2022-12-01,35,67,168
2022-12-02,35,53,165
2022-12-03,35,56,147
2022-12-04,35,45,140
2022-12-05,35,51,160
2022-12-06,35,44,154
2022-12-07,35,59,158
2022-12-08,35,61,156
2022-12-09,35,59,155
2022-12-10,35,50,131
2022-12-11,35,42,132
2022-12-12,35,69,161
2022-12-13,35,30,155
2022-12-14,35,25,144
2022-12-15,35,31,155
2022-12-16,35,29,149
2022-12-17,35,25,148
2022-12-18,35,22,150
2022-12-19,35,39,169
2022-12-20,35,43,185
2022-12-21,35,40,175
2022-12-22,35,34,163
2022-12-23,35,26,162
2022-12-24,35,23,150
2022-12-25,35,27,168
2022-12-26,35,19,157
2022-12-27,35,25,149
2022-12-28,35,30,160
2022-12-29,35,23,154
2022-12-30,35,30,149
2022-12-31,35,25,145
2023-01-01,35,17,129
2023-01-02,35,24,131
2023-01-03,35,21,118
2023-01-04,35,18,100
2023-01-05,35,19,93
2023-01-06,35,13,89
2023-01-07,35,4,68
2023-01-08,35,8,68
2023-01-09,35,5,69
2023-01-10,35,7,66
2023-01-11,35,3,52
2023-01-12,35,5,44
2023-01-13,35,4,38
2023-01-14,35,5,32
2023-01-15,35,0,30
2023-01-16,35,4,34
2023-01-17,35,5,39
2023-01-18,35,5,35
2023-01-19,35,5,32
2023-01-20,35,1,28
2023-01-21,35,1,21
2023-01-22,35,0,16
2023-01-23,35,2,20
2023-01-24,35,2,19
2023-01-25,35,0,14
2023-01-26,35,0,9
2023-01-27,35,3,11
2023-01-28,35,4,15
2023-01-29,35,0,7
2023-01-30,35,2,12
2023-01-31,35,1,12
2023-02-01,35,1,12
2023-02-02,35,0,12
2023-02-03,35,0,9
2023-02-04,35,0,9
2023-02-05,35,2,13
2023-02-06,35,2,10
2023-02-07,35,1,11
2023-02-08,35,2,8
2023-02-09,35,1,9
2023-02-10,35,2,11
2023-02-11,35,1,11
2023-02-12,35,1,9
2023-02-13,35,0,8
2023-02-14,35,3,12
2023-02-15,35,3,13
2023-02-16,35,3,12
2023-02-17,35,1,11
2023-02-18,35,1,8
2023-02-19,35,0,5
2023-02-20,35,1,9
2023-02-21,35,1,10
2023-02-22,35,1,11
2023-02-23,35,0,10
2023-02-24,35,0,8
2023-02-25,35,0,8
2023-02-26,35,0,8
2023-02-27,35,1,8
2023-02-28,35,0,9
2023-03-01,35,0,8
2023-03-02,35,1,9
2023-03-03,35,2,9
2023-03-04,35,0,9
2023-03-05,35,0,9
2023-03-06,35,2,7
2023-03-07,35,0,6
2023-03-08,35,0,8
2023-03-09,35,0,8
2023-03-10,35,1,9
2023-03-11,35,0,8
2023-03-12,35,0,6
2023-03-13,35,2,8
2023-03-14,35,2,9
2023-03-15,35,0,9
2023-03-16,35,1,10
